Fe2Se2-CH-AFM,Fe2Se2-CH-AFM
Fe2Te2-CH-FM,Fe2Te2-CH-FM
Fe2Te2-CH-AFM,Fe2Te2-CH-AFM
Fe2F2-CH-FM,Fe2F2-CH-FM
Fe2F2-CH-AFM,Fe2F2-CH-AFM
Fe2Cl2-CH-FM,Fe2Cl2-CH-FM
Fe2Cl2-CH-AFM,Fe2Cl2-CH-AFM
Fe2Br2-CH-FM,Fe2Br2-CH-FM
Fe2Br2-CH-AFM,Fe2Br2-CH-AFM
Fe2I2-CH-FM,Fe2I2-CH-FM
Fe2I2-CH-AFM,Fe2I2-CH-AFM
Co2S2-CH-NM,Co2S2-CH-NM
Co2Se2-CH-NM,Co2Se2-CH-NM
Co2Te2-CH-NM,Co2Te2-CH-NM
Co2F2-CH-FM,Co2F2-CH-FM
Co2F2-CH-AFM,Co2F2-CH-AFM
Co2Cl2-CH-FM,Co2Cl2-CH-FM
Co2Cl2-CH-AFM,Co2Cl2-CH-AFM
Co2Br2-CH-FM,Co2Br2-CH-FM
Co2Br2-CH-AFM,Co2Br2-CH-AFM
Co2I2-CH-FM,Co2I2-CH-FM
Co2I2-CH-AFM,Co2I2-CH-AFM
Ni2S2-CH-NM,Ni2S2-CH-NM
Ni2Se2-CH-NM,Ni2Se2-CH-NM
Ni2Te2-CH-NM,Ni2Te2-CH-NM
Ni2F2-CH-FM,Ni2F2-CH-FM
Ni2F2-CH-AFM,Ni2F2-CH-AFM
Ni2Cl2-CH-FM,Ni2Cl2-CH-FM
Ni2Br2-CH-FM,Ni2Br2-CH-FM
Ni2I2-CH-FM,Ni2I2-CH-FM
Cu2S2-CH-NM,Cu2S2-CH-NM
Cu2Se2-CH-NM,Cu2Se2-CH-NM
Cu2Te2-CH-NM,Cu2Te2-CH-NM
Cu2F2-CH-FM,Cu2F2-CH-FM
Cu2F2-CH-NM,Cu2F2-CH-NM
Cu2Cl2-CH-NM,Cu2Cl2-CH-NM
Cu2Br2-CH-NM,Cu2Br2-CH-NM
Cu2I2-CH-NM,Cu2I2-CH-NM
Zn2S2-CH-NM,Zn2S2-CH-NM
Zn2Se2-CH-NM,Zn2Se2-CH-NM
Zn2Te2-CH-NM,Zn2Te2-CH-NM
Zn2F2-CH-NM,Zn2F2-CH-NM
Zn2Cl2-CH-NM,Zn2Cl2-CH-NM
Zn2Br2-CH-NM,Zn2Br2-CH-NM
Zn2I2-GaSe-NM,Zn2I2-GaSe-NM
Ga2Te2-CH-NM,Ga2Te2-CH-NM
Cl2Ge2-CH-NM,Cl2Ge2-CH-NM
Br2Ge2-CH-NM,Br2Ge2-CH-NM
Ge2I2-CH-NM,Ge2I2-CH-NM
Zr2S2-CH-NM,Zr2S2-CH-NM
Zr2Se2-CH-NM,Zr2Se2-CH-NM
Zr2Te2-CH-NM,Zr2Te2-CH-NM
Zr2F2-CH-NM,Zr2F2-CH-NM
Zr2Cl2-CH-NM,Zr2Cl2-CH-NM
Zr2Br2-CH-NM,Zr2Br2-CH-NM
Zr2I2-CH-NM,Zr2I2-CH-NM
Nb2S2-CH-NM,Nb2S2-CH-NM
Nb2Se2-CH-NM,Nb2Se2-CH-NM
Nb2Te2-CH-NM,Nb2Te2-CH-NM
Nb2F2-CH-NM,Nb2F2-CH-NM
Nb2Cl2-CH-NM,Nb2Cl2-CH-NM
Nb2Br2-CH-NM,Nb2Br2-CH-NM
Nb2I2-ISb-NM,Nb2I2-ISb-NM
Mo2S2-CH-NM,Mo2S2-CH-NM
Mo2Se2-CH-NM,Mo2Se2-CH-NM
Mo2Te2-CH-NM,Mo2Te2-CH-NM
Mo2F2-CH-NM,Mo2F2-CH-NM
Mo2Cl2-CH-NM,Mo2Cl2-CH-NM
Mo2Br2-CH-NM,Mo2Br2-CH-NM
Mo2I2-CH-NM,Mo2I2-CH-NM
Ru2S2-CH-NM,Ru2S2-CH-NM
Ru2Se2-CH-NM,Ru2Se2-CH-NM
Ru2Te2-CH-NM,Ru2Te2-CH-NM
Ru2F2-GaSe-NM,Ru2F2-GaSe-NM
Ru2Cl2-CH-NM,Ru2Cl2-CH-NM
Ru2Br2-CH-NM,Ru2Br2-CH-NM
Ru2I2-CH-NM,Ru2I2-CH-NM
Rh2S2-CH-NM,Rh2S2-CH-NM
Rh2Se2-CH-NM,Rh2Se2-CH-NM
Rh2Te2-CH-NM,Rh2Te2-CH-NM
Rh2F2-CH-FM,Rh2F2-CH-FM
Rh2Cl2-CH-FM,Rh2Cl2-CH-FM
Rh2Br2-CH-FM,Rh2Br2-CH-FM
Rh2I2-CH-NM,Rh2I2-CH-NM
Pd2S2-CH-NM,Pd2S2-CH-NM
Pd2Se2-CH-NM,Pd2Se2-CH-NM
Pd2Te2-CH-NM,Pd2Te2-CH-NM
Pd2F2-GaSe-NM,Pd2F2-GaSe-NM
Pd2Cl2-CH-NM,Pd2Cl2-CH-NM
Pd2Br2-CH-NM,Pd2Br2-CH-NM
Pd2I2-CH-NM,Pd2I2-CH-NM
Ag2S2-CH-FM,Ag2S2-CH-FM
Ag2S2-CH-NM,Ag2S2-CH-NM
Ag2Se2-CH-NM,Ag2Se2-CH-NM
Ag2Te2-CH-NM,Ag2Te2-CH-NM
Ag2F2-Undefined-NM,Ag2F2-Undefined-NM
Ag2Cl2-CH-NM,Ag2Cl2-CH-NM
Ag2Br2-CH-NM,Ag2Br2-CH-NM
Ag2I2-CH-NM,Ag2I2-CH-NM
Cd2S2-CH-NM,Cd2S2-CH-NM
Cd2Se2-CH-NM,Cd2Se2-CH-NM
Cd2Te2-CH-NM,Cd2Te2-CH-NM
Cd2F2-CH-NM,Cd2F2-CH-NM
Cd2Cl2-CH-NM,Cd2Cl2-CH-NM
Cd2Br2-CH-NM,Cd2Br2-CH-NM
Cd2I2-CH-NM,Cd2I2-CH-NM
In2S2-CH-NM,In2S2-CH-NM
In2Te2-CH-NM,In2Te2-CH-NM
In2I2-CH-NM,In2I2-CH-NM
Sn2Cl2-CH-NM,Sn2Cl2-CH-NM
Sn2Br2-CH-NM,Sn2Br2-CH-NM
Sn2I2-CH-NM,Sn2I2-CH-NM
S2Sb2-CH-NM,S2Sb2-CH-NM
Sb2Se2-CH-NM,Sb2Se2-CH-NM
Sb2Te2-CH-NM,Sb2Te2-CH-NM
F2Sb2-Undefined-NM,F2Sb2-Undefined-NM
Cl2Sb2-CH-NM,Cl2Sb2-CH-NM
Br2Sb2-CH-NM,Br2Sb2-CH-NM
I2Sb2-ISb-NM,I2Sb2-ISb-NM
Hf2S2-CH-NM,Hf2S2-CH-NM
Hf2Se2-CH-NM,Hf2Se2-CH-NM
Hf2Te2-CH-FM,Hf2Te2-CH-FM
Hf2Te2-CH-NM,Hf2Te2-CH-NM
Hf2F2-CH-NM,Hf2F2-CH-NM
Hf2Cl2-CH-NM,Hf2Cl2-CH-NM
Hf2Br2-CH-NM,Hf2Br2-CH-NM
Hf2I2-CH-NM,Hf2I2-CH-NM
Ta2S2-CH-NM,Ta2S2-CH-NM
Ta2Se2-CH-NM,Ta2Se2-CH-NM
Ta2Te2-CH-NM,Ta2Te2-CH-NM
Ta2F2-CH-NM,Ta2F2-CH-NM
Ta2Cl2-CH-NM,Ta2Cl2-CH-NM
Ta2Br2-CH-FM,Ta2Br2-CH-FM
Ta2Br2-CH-NM,Ta2Br2-CH-NM
Ta2I2-CH-NM,Ta2I2-CH-NM
W2S2-CH-NM,W2S2-CH-NM
W2Se2-CH-NM,W2Se2-CH-NM
W2Te2-CH-NM,W2Te2-CH-NM
W2F2-CH-NM,W2F2-CH-NM
W2Cl2-CH-NM,W2Cl2-CH-NM
W2Br2-CH-NM,W2Br2-CH-NM
W2I2-CH-NM,W2I2-CH-NM
Re2S2-CH-NM,Re2S2-CH-NM
Re2Se2-CH-NM,Re2Se2-CH-NM
Re2Te2-CH-NM,Re2Te2-CH-NM
Re2F2-CH-NM,Re2F2-CH-NM
Re2Cl2-CH-NM,Re2Cl2-CH-NM
Re2Br2-CH-NM,Re2Br2-CH-NM
Re2I2-CH-NM,Re2I2-CH-NM
Os2S2-CH-NM,Os2S2-CH-NM
Os2Se2-CH-NM,Os2Se2-CH-NM
Os2Te2-CH-NM,Os2Te2-CH-NM
Os2F2-CH-NM,Os2F2-CH-NM
Os2Cl2-CH-NM,Os2Cl2-CH-NM
